フレンズID,わざ種別,効果種別,威力,対象,条件,効果ターン,発動率,発動回数,備考
ガチャピン,けものミラクル,被ダメージ増加,0.3,相手単体,-,2ターン,高確率,-,
ホロホロチョウ,とくいわざ,被ダメージ増加,0.05,相手単体,フレンドリー属性の相手,2ターン,高確率,-,
キジ,けものミラクル,被ダメージ増加,0.14,相手単体,-,2ターン,-,-,
ダンザブロウダヌキ,とくいわざ,被ダメージ増加,0.05,相手単体,-,2ターン,高確率,-,
コヨーテ,とくいわざ,被ダメージ増加,0.05,相手単体,マイペース属性の相手,2ターン,高確率,-,
コヨーテ,けものミラクル,被ダメージ増加,0.05,味方全体,アクティブ属性の味方,3ターン,-,-,
カコミスル,けものミラクル,被ダメージ増加,0.25,相手単体,フレンドリー属性の相手,1ターン,高確率,-,
カコミスル,とくいわざ,被ダメージ増加,0.05,相手単体,フレンドリー属性の相手,3ターン,高確率,-,
シマハイイロギツネ,とくいわざ,被ダメージ増加,0.1,相手単体,ラブリー属性の相手,2ターン,高確率,-,
オオカワウソ,とくせい,被ダメージ増加,0.25,相手単体,地形がみずべ~~くらくら状態の相手,-,-,-,
オオカワウソ,とくせい,被ダメージ増加,0.15,相手単体,地形がみずべ~~ズキンズキン状態の相手,-,-,-,
ゴシンギュウサマ,とくいわざ,被ダメージ増加,0.1,相手単体,-,2ターン,高確率,-,
ゴシンギュウサマ,けものミラクル,被ダメージ増加,0.35,相手全体,-,2ターン,高確率,-,
セイリュウ,けものミラクル,被ダメージ増加,0.15,相手全体,ラブリー属性の相手,2ターン,-,-,
テングコウモリ,とくいわざ,被ダメージ増加,0.1,相手単体,アクティブ属性の相手,2ターン,高確率,-,
クズリ,とくいわざ,被ダメージ増加,0.1,相手単体,マイペース属性の相手,2ターン,中確率,-,
パラケラテリウム,とくいわざ,被ダメージ増加,0.05,相手全体,マイペース属性の相手,2ターン,高確率,-,
イヌガミギョウブ,けものミラクル,被ダメージ増加,0.15,相手単体,-,1ターン,-,-,
イエイヌ（シベリアンハスキー）,とくいわざ,被ダメージ増加,0.05,相手単体,-,2ターン,高確率,-,
アゴヒゲアザラシ,とくいわざ,被ダメージ増加,0.1,相手単体,ラブリー属性の相手,2ターン,高確率,-,
イリエワニ,けものミラクル,被ダメージ増加,0.25,相手単体,マイペース属性の相手,1ターン,高確率,-,
ジョフロイネコ,とくいわざ,被ダメージ増加,0.1,相手単体,-,2ターン,高確率,-,
カグヤコウモリ,とくせい,被ダメージ増加,0.1,相手全体,ファニー属性の相手,-,-,-,
シヴァテリウム,たいきスキル,被ダメージ増加,0.1,相手全体,-,2ターン,0.7,2回,
ウィッチ,けものミラクル,被ダメージ増加,0.15,相手全体,-,2ターン,高確率,-,
ドラコケンタウロス,とくいわざ,被ダメージ増加,0.1,相手単体,-,2ターン,高確率,-,
ドラコケンタウロス,とくいわざ,被ダメージ増加,0.14,相手単体,-,2ターン,低確率,-,
インドオオカミ,けものミラクル,被ダメージ増加,0.15,相手単体,ファニー属性の相手,2ターン,高確率,-,
ヘビクイワシ,キセキとくせい,被ダメージ増加,0.05,相手全体,アクティブ属性の相手,-,-,-,
ハシブトガラス,けものミラクル,被ダメージ増加,0.15,相手単体,ファニー属性の相手,2ターン,高確率,-,
ハシブトガラス,とくせい,被ダメージ増加,0.1,相手全体,ファニー属性の相手,-,-,-,
サーバル,けものミラクル,被ダメージ増加,0.1,相手単体,-,1ターン,高確率,-,
ミーアキャット(桃),けものミラクル,被ダメージ増加,0.15,相手全体,-,1ターン,1,-,
ユニコ,とくいわざ,被ダメージ増加,0.03,相手単体,-,10ターン,高確率,-,
ブラックジャガー(桃),けものミラクル,被ダメージ増加,0.1,相手単体,-,1ターン,1,-,
ヤク,けものミラクル,被ダメージ増加,0.14,相手単体,-,1ターン,1,-,
カラカル,けものミラクル,被ダメージ増加,0.3,相手単体,-,1ターン,1,-,
クロヒョウ,とくいわざ,被ダメージ増加,0.1,相手単体,ファニー属性の相手,2ターン,高確率,-,
スカイフィッシュ,けものミラクル,被ダメージ増加,0.1,相手単体,-,2ターン,1,-,
アラビアオリックス,けものミラクル,被ダメージ増加,0.14,相手単体,-,2ターン,高確率,-,
トキ(青),けものミラクル,被ダメージ増加,0.05,相手全体,ファニー属性の相手,2ターン,高確率,-,
ジャック・オー・ランタン,たいきスキル,被ダメージ増加,0.2,自身,-,2ターン,1,1回,
チーター,キセキとくせい,被ダメージ増加,0.05,相手全体,リラックス属性の相手,-,-,-,
ナミチスイコウモリ,とくいわざ,被ダメージ増加,0.1,相手単体,-,2ターン,高確率,-,
ホワイトサーバル,とくいわざ,被ダメージ増加,0.05,相手単体,-,3ターン,高確率,-,
シーサー・レフティ,けものミラクル,被ダメージ増加,0.1,相手全体,-,1ターン,1,-,
イエイヌ（雑種）,けものミラクル,被ダメージ増加,0.2,相手全体,リラックス属性の相手,3ターン,1,-,
イエイヌ（雑種）,とくいわざ,被ダメージ増加,0.05,相手単体,リラックス属性の相手,2ターン,高確率,-,
クロトキ,なないろとくせい,被ダメージ増加,0.05,相手全体,ラブリー属性の相手~~自身のたいりょくが50%以下,-,-,-,
クロトキ,とくいわざ,被ダメージ増加,0.05,相手単体,ラブリー属性の相手,3ターン,中確率,-,
サラブレッドあおかげ,とくいわざ,被ダメージ増加,0.05,相手単体,-,2ターン,高確率,-,
レッサーパンダ,たいきスキル,被ダメージ増加,0.15,相手単体,-,2ターン,0.5,3回,
パンサーカメレオン,けものミラクル,被ダメージ増加,0.15,相手単体,フレンドリー属性の相手,2ターン,1,-,
ホワイトタイガー,けものミラクル,被ダメージ増加,0.1,相手全体,ラブリー属性の相手,2ターン,1,-,
G・ロードランナー,とくいわざ,被ダメージ増加,0.1,相手単体,強敵出現wave~~相手がフレンズ,2ターン,高確率,-,
オイナリサマ,けものミラクル,被ダメージ増加,0.1,相手単体,-,1ターン,1,-,
フンボルトペンギン,キセキとくせい,被ダメージ増加,0.12,相手全体,ラブリー属性の相手~~たいりょく80%以上,-,-,-,
リカオン,とくいわざ,被ダメージ増加,0.15,相手単体,-,1ターン,高確率,-,
タスマニアデビル,たいきスキル,被ダメージ増加,0.1,相手全体,-,1ターン,0.7,4回,
カタカケフウチョウ,キセキとくせい,被ダメージ増加,0.05,相手全体,ラブリー属性の相手,-,-,-,
イワトビペンギン,けものミラクル,被ダメージ増加,0.15,相手単体,マイペース属性の相手,2ターン,1,-,
カピバラ,とくせい,被ダメージ増加,0.3,自身,自身がひやひや状態,-,-,-,
オオセンザンコウ,けものミラクル,被ダメージ増加,0.25,相手単体,-,2ターン,1,-,
オオセンザンコウ,たいきスキル,被ダメージ増加,0.15,相手全体,-,2ターン,0.3,2回,
キタキツネ,けものミラクル,被ダメージ増加,0.14,相手単体,-,2ターン,高確率,-,
ヘラジカ,とくいわざ,被ダメージ増加,0.1,相手単体,-,1ターン,高確率,-,
アイアイ,けものミラクル,被ダメージ増加,0.1,相手全体,-,2ターン,高確率,-,
ライオン,けものミラクル,被ダメージ増加,0.14,相手単体,-,2ターン,高確率,-,
タイリクオオカミ,けものミラクル,被ダメージ増加,0.14,相手単体,-,2ターン,高確率,-,
ブラックジャガー,とくいわざ,被ダメージ増加,0.1,相手単体,-,1ターン,高確率,-,
フェネック,とくいわざ,被ダメージ増加,0.15,相手単体,-,2ターン,低確率,-,
ギンギツネ,とくいわざ,被ダメージ増加,0.2,相手単体,-,2ターン,中確率,-,
ダチョウ,けものミラクル,被ダメージ増加,0.24,相手単体,ファニー属性の相手,1ターン,1,-,
カリフォルニアアシカ,けものミラクル,被ダメージ増加,0.1,味方全体,-,2ターン,-,-,
オジロヌー,とくいわざ,被ダメージ増加,0.15,相手単体,ファニー属性の相手,1ターン,高確率,-,
カタカケフウチョウ,なないろとくせい,全体攻撃による被ダメージ増加,0.05,相手全体,-,-,-,-,
ヒグマ,なないろとくせい,全体攻撃による被ダメージ増加,0.1,相手全体,-,-,-,-,
ひぐまモン,とくいわざ,全体攻撃による被ダメージ増加,0.05,相手単体,-,3ターン,-,-,
ニホンオオカミ,とくせい,全体攻撃による被ダメージ増加,0.15,相手全体,ギブアップ中ではない味方が5人,-,-,-,
アードウルフ,キセキとくせい,全体攻撃による被ダメージ増加,0.15,相手全体,-,-,-,-,
ハクトウワシ,キセキとくせい,全体攻撃による被ダメージ増加,0.2,相手全体,-,-,-,-,
バシロサウルス・イシス,とくいわざ,攻撃命中率減少,0.06,相手単体,-,2ターン,高確率,-,
ビャクダ,とくいわざ,攻撃命中率減少,0.15,相手単体,リラックス属性の相手,2ターン,高確率,-,
メガテリウム,けものミラクル,攻撃命中率減少,0.24,相手単体,-,2ターン,-,-,必要MP110
ドルドン,けものミラクル,攻撃命中率減少,0.19,相手単体,ファニー属性の相手,2ターン,高確率,-,必要MP110
クロサイ(緑),とくいわざ,攻撃命中率減少,0.1,相手単体,-,3ターン,高確率,-,
ジュゴン,けものミラクル,攻撃命中率減少,0.19,相手単体,-,2ターン,高確率,-,必要MP100
イワハイラックス,とくいわざ,攻撃命中率減少,0.15,相手単体,-,2ターン,高確率,-,
ギロロ,けものミラクル,攻撃命中率減少,0.29,相手単体,-,3ターン,高確率,-,必要MP120
キットギツネ,とくいわざ,攻撃命中率減少,0.1,相手単体,セルリアン戦~~ギブアップ中ではない~~相手が2人以下,-,高確率,-,
ワオキツネザル,けものミラクル,攻撃命中率減少,0.09,相手単体,-,8ターン,高確率,3回,必要MP100
ニホンジカ,けものミラクル,攻撃命中率減少,0.19,相手単体,-,2ターン,高確率,-,必要MP120
スカイフィッシュ(水),とくいわざ,攻撃命中率減少,0.05,相手単体,-,2ターン,低確率,-,
ウミウ,けものミラクル,攻撃命中率減少,0.15,相手単体,-,3ターン,高確率,-,必要MP80
ロイヤルペンギン,なないろとくせい,攻撃命中率減少,0.05,相手全体,-,-,-,-,
スナネコ,なないろとくせい,攻撃命中率減少,0.05,相手全体,マイペース属性の相手~~自身がギブアップ状態でない,-,-,-,
キンイロジャッカル,とくいわざ,攻撃命中率減少,0.05,相手単体,-,2ターン,高確率,-,
オグロスナギツネ,けものミラクル,攻撃命中率減少,0.19,相手単体,-,3ターン,高確率,-,必要MP120
ホワイトカリブー,とくせい,攻撃命中率減少,0.1,相手全体,地形が寒冷地~~アクティブ属性の相手,-,-,-,
マントヒヒ,けものミラクル,攻撃命中率減少,0.14,相手単体,-,2ターン,低確率,-,必要MP90
ニホンノウサギ,たいきスキル,攻撃命中率減少,0.1,相手全体,アクティブ属性の相手,2ターン,0.7,∞,
インドサイ,けものミラクル,攻撃命中率減少,0.14,相手単体,マイペース属性の相手,2ターン,高確率,-,
トラ,たいきスキル,攻撃命中率減少,0.1,自身,-,2ターン,0.7,2回,
クズリ,とくいわざ,攻撃命中率減少,0.1,相手単体,マイペース属性の相手,2ターン,中確率,-,
タチコマ type-S,とくいわざ,攻撃命中率減少,0.15,相手単体,-,2ターン,低確率,-,
ゴールデンタビータイガー,とくいわざ,攻撃命中率減少,0.1,相手単体,-,2ターン,高確率,-,
マルタタイガー,とくいわざ,攻撃命中率減少,0.1,相手単体,-,2ターン,高確率,-,
ハシブトガラス,とくいわざ,攻撃命中率減少,0.3,相手単体,ファニー属性の相手,1ターン,中確率,-,
キティサーバル,けものミラクル,攻撃命中率減少,0.2,相手単体,-,3ターン,高確率,-,
インドゾウ,とくいわざ,攻撃命中率減少,0.1,相手単体,-,2ターン,高確率,-,
チーター,とくせい,攻撃命中率減少,0.05,自身,毎wave開始時,-,-,5回,
スナネコ(赤),とくいわざ,攻撃命中率減少,0.2,相手単体,-,3ターン,低確率,-,
ジャイアントパンダ,とくいわざ,攻撃命中率減少,0.1,相手単体,-,2ターン,低確率,-,
ダチョウ(赤),けものミラクル,攻撃命中率減少,0.2,相手全体,フレンドリー属性の相手,2ターン,高確率,-,
サラブレッドしろげ,とくいわざ,攻撃命中率減少,0.07,相手単体,-,2ターン,高確率,-,
マレーバク(緑),けものミラクル,攻撃命中率減少,0.19,自身,-,2ターン,1,-,
アリツカゲラ,けものミラクル,攻撃命中率減少,0.23,相手単体,マイペース属性の相手,2ターン,1,-,
オオフウチョウ,とくいわざ,攻撃命中率減少,0.1,相手単体,リラックス属性の相手,2ターン,-,-,
フタコブラクダ,とくいわざ,攻撃命中率減少,0.1,相手単体,-,1ターン,高確率,-,
オーストラリアデビル,たいきスキル,攻撃命中率減少,0.05,自身,-,2ターン,0.7,3回,
ワシミミズク,とくいわざ,攻撃命中率減少,0.15,相手単体,-,2ターン,中確率,-,
アフリカオオコノハズク,とくいわざ,攻撃命中率減少,0.15,相手単体,-,2ターン,高確率,-,
ジャイアントペンギン,けものミラクル,攻撃命中率減少,0.15,相手単体,ラブリー属性の相手,2ターン,高確率,-,
ピーチパンサー,とくいわざ,攻撃命中率減少,0.1,相手単体,-,2ターン,高確率,-,
ライオン,とくいわざ,攻撃命中率減少,0.1,相手単体,-,2ターン,低確率,-,
スナネコ,けものミラクル,攻撃命中率減少,0.36,相手単体,-,1ターン,-,-,
クジャク,とくいわざ,攻撃命中率減少,0.1,相手単体,ファニー属性の相手,2ターン,高確率,-,
カリフォルニアラッコ,とくせい,攻撃命中率減少,0.15,相手全体,自身のたいりょくが50%以下,-,-,-,
シロサイ,とくいわざ,攻撃命中率減少,0.2,相手単体,-,1ターン,高確率,-,
チャップマンシマウマ,たいきスキル,攻撃命中率減少,0.25,ランダムな相手単体,-,1ターン,0.5,4回,
山本五郎左衛門,キセキとくせい,かいひ減少,0.05,相手全体,自身がギブアップ状態でない,-,-,-,
山本五郎左衛門,とくいわざ,かいひ減少,0.05,相手単体,ラブリー、ファニー属性の相手,1ターン,中確率,-,
ホッキョクグマ,なないろとくせい,かいひ減少,0.1,相手全体,ラブリー属性の相手,-,-,-,
イワハイラックス,けものミラクル,かいひ減少,0.19,相手単体,-,2ターン,高確率,-,必要MP110
コモドドラゴン,なないろとくせい,かいひ減少,0.1,相手全体,自身がギブアップ状態でない,-,-,-,
エゾユキウサギ,キセキとくせい,かいひ減少,0.1,相手全体,-,-,-,-,
バンテン,たいきスキル,かいひ減少,0.1,相手単体,リラックス属性の相手,3ターン,0.7,3回,
クロテン,とくいわざ,かいひ減少,0.05,相手単体,-,2ターン,中確率,-,
ホンドテン,けものミラクル,かいひ減少,0.14,相手単体,-,2ターン,高確率,-,必要MP120
ニホンアナグマ,けものミラクル,かいひ減少,0.15,相手単体,-,2ターン,高確率,-,必要MP80
ヤブツカツクリ,とくいわざ,かいひ減少,0.1,相手単体,-,2ターン,中確率,-,
ダイトウオオコウモリ,キセキとくせい,かいひ減少,0.1,相手全体,-,-,-,-,
ダイトウオオコウモリ,けものミラクル,かいひ減少,0.13,相手単体,-,-,高確率,-,必要MP80
カワウ,けものミラクル,かいひ減少,0.2,相手単体,-,3ターン,高確率,-,必要MP80
エダハヘラオヤモリ,たいきスキル,かいひ減少,0.1,相手全体,-,2ターン,1,3回,
スナネコ,なないろとくせい,かいひ減少,0.05,相手全体,アクティブ属性の相手~~自身がギブアップ状態でない,-,-,-,
ピューマ,とくせい,かいひ減少,0.1,相手全体,フレンドリー属性の相手~~自身のたいりょくが70%以上,-,-,-,
ピューマ,とくいわざ,かいひ減少,0.1,相手単体,-,2ターン,高確率,-,
タテガミオオカミ,けものミラクル,かいひ減少,0.24,相手単体,-,2ターン,高確率,-,必要MP100
アフリカニシキヘビ,なないろとくせい,かいひ減少,0.1,相手全体,フレンドリー属性の相手,-,-,-,
タイリクオオカミ,なないろとくせい,かいひ減少,0.1,相手全体,リラックス属性の相手,-,-,-,
オグロスナギツネ,けものミラクル,かいひ減少,0.19,相手単体,-,3ターン,高確率,-,必要MP120
オグロスナギツネ,とくいわざ,かいひ減少,0.12,相手単体,-,2ターン,中確率,-,
カマイタチ・転,キセキとくせい,かいひ減少,0.1,相手全体,自身がギブアップ状態でない,-,-,-,
カマイタチ・転,けものミラクル,かいひ減少,0.24,相手単体,-,2ターン,高確率,-,必要MP80
カニクイアライグマ,とくせい,かいひ減少,0.05,相手全体,ファニー属性またはラブリー属性の相手,-,-,-,
ボブキャット,とくいわざ,かいひ減少,0.1,相手単体,地形が寒冷地~~アクティブ属性の相手,2ターン,中確率,-,
ウサギコウモリ,とくせい,かいひ減少,0.05,相手全体,地形がやま~~アクティブ属性の相手,-,-,-,
オコジョ,キセキとくせい,かいひ減少,0.05,相手全体,ラブリー属性の相手,-,-,-,
オコジョ,たいきスキル,かいひ減少,0.15,自身,-,2ターン,1,3回,
メガネカイマン,とくいわざ,かいひ減少,0.1,相手単体,リラックス属性の相手,2ターン,高確率,-,
ブチハイエナ,たいきスキル,かいひ減少,0.1,相手全体,リラックス属性の相手,3ターン,1,1回,
インドサイ,けものミラクル,かいひ減少,0.14,相手単体,-,2ターン,高確率,-,
マサイキリン,けものミラクル,かいひ減少,0.19,相手単体,-,2ターン,高確率,-,
タチコマ type-S,けものミラクル,かいひ減少,0.2,相手単体,-,1ターン,-,-,
イリエワニ,たいきスキル,かいひ減少,0.1,相手全体,マイペース属性の相手,4ターン,1,2回,
ハシブトガラス,とくせい,かいひ減少,0.05,相手全体,ファニー属性の相手,-,-,-,
サーバル,とくせい,かいひ減少,0.1,相手全体,-,-,-,-,
カラカル,とくいわざ,かいひ減少,0.1,相手単体,-,2ターン,高確率,-,
キティサーバル,けものミラクル,かいひ減少,0.2,相手単体,-,3ターン,高確率,-,
ニホンオオカミ,キセキとくせい,かいひ減少,0.1,相手全体,-,-,-,-,
チーター,とくせい,かいひ減少,0.03,自身,毎wave開始時,-,-,5回,
チャップマンシマウマ(桃),とくいわざ,かいひ減少,0.3,相手単体,アクティブ属性の相手,4ターン,-,-,
ジャイアントパンダ,とくいわざ,かいひ減少,0.1,相手単体,-,2ターン,低確率,-,
シャチ,とくいわざ,かいひ減少,0.1,相手単体,ラブリー属性の相手,3ターン,中確率,-,
サラブレッドくりげ,とくいわざ,かいひ減少,0.05,相手単体,-,2ターン,高確率,-,
レッサーパンダ,キセキとくせい,かいひ減少,0.05,相手全体,ファニー属性の相手,-,-,-,
フンボルトペンギン,キセキとくせい,かいひ減少,0.2,相手全体,たいりょく80%以上,-,-,-,
オオセンザンコウ,たいきスキル,かいひ減少,0.15,相手全体,-,2ターン,0.3,2回,
キングコブラ,たいきスキル,かいひ減少,0.1,自身,-,2ターン,0.8,3回,
アイアイ,キセキとくせい,かいひ減少,0.15,相手全体,-,-,-,-,
ライオン,とくいわざ,かいひ減少,0.1,相手単体,-,2ターン,低確率,-,
ジャガー,けものミラクル,かいひ減少,0.36,相手単体,マイペース属性の相手,2ターン,高確率,-,
ロイヤルペンギン,とくせい,かいひ減少,0.05,相手全体,-,-,-,-,
ロイヤルペンギン,キセキとくせい,かいひ減少,0.1,相手全体,-,-,-,-,
カリフォルニアアシカ,とくせい,かいひ減少,0.1,相手全体,-,-,-,-,
バシロサウルス・イシス,けものミラクル,回復,0.2,自身,-,-,-,-,必要MP120
カワラバト,とくいわざ,回復,0.08,自身,-,-,-,-,
イエイヌ（シベリアンハスキー）,なないろとくせい,回復,0.3,自身,自身のたいりょくが50%以下になったとき,-,-,1回,
フクロミツスイ,たいきスキル,回復,0.15,自身,-,-,0.8,3回,
フクロミツスイ,けものミラクル,回復,0.14,味方全体,ラブリー属性の味方,-,-,-,必要MP70
スプリングボック,キセキとくせい,回復,0.3,自身,たいりょくが50%以下になったとき,-,-,1回,
スプリングボック,たいきスキル,回復,0.15,自身,-,-,1,2回,
山本五郎左衛門,たいきスキル,回復,0.2,自身,-,-,1,1回,
エナガ,たいきスキル,回復,0.15,自身,-,-,1,2回,
エナガ,けものミラクル,回復,0.2,味方全体,フレンドリー属性の味方,-,-,-,必要MP110
黒龍,たいきスキル,回復,0.2,味方全体,-,-,1,1回,
黒龍,けものミラクル,回復,0.24,味方全体,-,-,-,-,必要MP200
ホワイトサーバル(桃),たいきスキル,回復,0.15,味方全体,ラブリー、ファニー属性の味方,-,1,1回,
メガテリウム,キセキとくせい,回復,0.3,自身,たいりょくが50%以下になったとき,-,-,1回,
メガテリウム,たいきスキル,回復,0.15,自身,-,-,1,2回,
クラハシコウ,けものミラクル,回復,0.19,味方全体,-,-,-,-,必要MP130
クロサイ(緑),キセキとくせい,回復,0.2,自身,たいりょくが20%以下になったとき,-,-,1回,
クロサイ(緑),けものミラクル,回復,0.2,自身,-,-,-,-,必要MP90
マイルカ,なないろとくせい,回復,0.4,自身,たいりょくが50%以下になったとき,-,-,1回,
ライリュウ,とくせい,回復,0.3,自身,たいりょくが50%以下になったとき,-,-,1回,
ライリュウ,けものミラクル,回復,0.34,自身,-,-,-,-,必要MP120
ニルガイ,たいきスキル,回復,0.15,味方全体,リラックス属性の味方,-,1,1回,
ニルガイ,けものミラクル,回復,0.19,味方全体,-,-,-,-,必要MP120
ジュゴン,たいきスキル,回復,0.15,味方全体,マイペース属性の味方,-,0.7,2回,
カモノハシ,けものミラクル,回復,0.2,自身,たいりょくが65%以下になったとき,-,-,1回,
カモノハシ,たいきスキル,回復,0.12,自身,-,-,1,3回,
ホワイトライオン(青),たいきスキル,回復,0.15,自身,-,-,1,2回,
ボルネオゾウ,とくいわざ,回復,0.05,自身,-,-,-,-,
ボルネオゾウ,けものミラクル,回復,0.14,味方全体,-,-,-,-,必要MP140
ボルネオゾウ,けものミラクル,回復,0.24,自身,-,-,-,-,必要MP140
スペインオオヤマネコ,たいきスキル,回復,0.4,自身,-,-,1,1回,
セグロジャッカル,とくせい,回復,0.4,自身,自身のたいりょくが40%以下になったとき,-,-,1回,
セグロジャッカル,けものミラクル,回復,0.14,自身,-,-,-,-,必要MP70
アリゲーター,たいきスキル,回復,0.15,自身,-,-,1,2回,
ピーチパンサー(黄緑),たいきスキル,回復,0.1,味方全体,-,-,1,1回,
アカカンガルー,たいきスキル,回復,0.2,自身,-,-,1,2回,
日向夏美,キセキとくせい,回復,0.3,自身,たいりょくが30%以下~~になったとき,-,-,1回,
日向夏美,けものミラクル,回復,0.29,自身,-,-,-,-,必要MP140
アラスカラッコ,たいきスキル,回復,0.15,自身,-,-,1,2回,
ステラーカイギュウ,たいきスキル,回復,0.2,自身,-,-,1,2回,
コモドドラゴン(桃),けものミラクル,回復,0.29,味方全体,-,-,-,-,必要MP120
インドシナウォータードラゴン,たいきスキル,回復,0.15,自身,-,-,1,1回,
キットギツネ,たいきスキル,回復,0.15,自身,-,-,1,2回,
バンテン,けものミラクル,回復,0.19,自身,-,-,-,-,必要MP100
クロテン,たいきスキル,回復,0.1,自身,-,-,1,2回,
マメジカ,たいきスキル,回復,0.15,味方全体,マイペース、リラックス~~属性の味方,-,0.7,2回,
ヤブツカツクリ,たいきスキル,回復,0.1,自身を除く~~味方全体,ファニー属性の味方,-,1,1回,
ヤブツカツクリ,けものミラクル,回復,0.19,味方全体,-,-,-,-,必要MP100
ニホンジカ,とくいわざ,回復,0.03,自身,フレンズ戦,-,-,-,
スカイフィッシュ(水),たいきスキル,回復,0.15,自身,-,-,1,1回,
クビワペッカリー,けものミラクル,回復,0.24,味方全体,-,-,-,-,必要MP80
ツチブタ,たいきスキル,回復,0.3,自身,-,-,1,1回,
エダハヘラオヤモリ,とくせい,回復,0.3,自身,たいりょくが50%~~以下になったとき,-,-,1回,
ヒクイドリ,たいきスキル,回復,0.1,自身,-,-,1,4回,
カラカル(桃),たいきスキル,回復,0.1,味方全体,ラブリー属性の味方,-,1,2回,
メンダコ,けものミラクル,回復,0.3,自身,-,-,-,-,必要MP90
シーラカンス,とくせい,回復,0.3,自身,たいりょくが30%~~以下になったとき,-,-,1回,
アフリカンゴールデンウルフ,とくせい,回復,0.2,味方全体,自身のたいりょくが~~50%以下になったとき,-,-,1回,
アフリカンゴールデンウルフ,たいきスキル,回復,0.05,味方全体,-,-,1,∞,
フクロオオカミ,けものミラクル,回復,0.19,味方全体,-,-,-,-,必要MP110
フクロオオカミ,たいきスキル,回復,0.05,自身,-,-,0.7,∞,
フクロオオカミ,キセキとくせい,回復,0.2,自身,たいりょくが65%以下になったとき,-,-,1回,
カモメ,たいきスキル,回復,0.07,味方全体,ファニー属性の味方,-,1,3回,
オセロット,とくせい,回復,0.3,自身,自身のたいりょくが~~50%以下になったとき,-,-,1回,
シロクジャク,たいきスキル,回復,0.05,自身,-,-,1,1回,
シロクジャク,けものミラクル,回復,34%%,味方全体,-,-,-,-,必要MP100
ケープライオン,たいきスキル,回復,0.25,自身,-,-,1,1回,
クジャク,キセキとくせい,回復,0.1,自身を除く~~味方全体,リラックス属性の味方~~自身のたいりょくが60%以下になったとき,-,-,1回,
カナダオオヤマネコ,たいきスキル,回復,0.2,自身,-,-,1,1回,
オジロスナギツネ,とくせい,回復,0.3,自身,たいりょくが50%以下になったとき,-,-,1回,
エトピリカ,けものミラクル,回復,0.19,味方全体,ファニー属性の味方,-,-,-,必要MP70
ジャングルキャット,たいきスキル,回復,0.1,自身,-,-,1,2回,
アカギツネ(青),けものミラクル,回復,0.12,味方全体,-,-,-,-,必要MP120
ドールシープ,たいきスキル,回復,0.05,自身,-,-,1,2回,
カマイタチ・治,けものミラクル,回復,0.29,味方全体,-,-,-,-,必要MP120
サバンナシマウマ(黄緑),たいきスキル,回復,0.03,味方全体,アクティブ属性の味方,-,1,∞,
サバンナシマウマ(黄緑),けものミラクル,回復,0.19,味方全体,-,-,-,-,必要MP120
シマリス,たいきスキル,回復,0.2,自身,-,-,1,2回,
メガネカイマン,たいきスキル,回復,0.15,自身,-,-,1,2回,
コウノトリ,けものミラクル,回復,0.39,味方全体,-,-,-,-,
ひぐまモン,たいきスキル,回復,0.1,自身,-,-,1,1回,
ちびくまモン,けものミラクル,回復,0.16,味方全体,-,-,-,-,
ルリコンゴウインコ,たいきスキル,回復,0.3,自身,-,-,1,1回,
麒麟,とくせい,回復,0.5,自身,ギブアップ中ではない味方が1人以下,-,-,1回,
麒麟,けものミラクル,回復,0.48,味方全体,-,-,-,-,
アフリカタテガミヤマアラシ,とくせい,回復,0.3,自身,たいりょくが40%以下になったとき,-,-,1回,
イリオモテヤマネコ,キセキとくせい,回復,0.15,自身,たいりょくが80%以下になったとき,-,-,1回,
イリオモテヤマネコ,たいきスキル,回復,0.1,自身,-,-,1,1回,
アマゾンツリーボア,たいきスキル,回復,0.15,自身,-,-,1,2回,
ツシマヤマネコ,たいきスキル,回復,0.1,味方全体,-,-,1,2回,
アオツラカツオドリ,とくいわざ,回復,0.05,自身,-,-,-,-,
アオツラカツオドリ,とくいわざ,回復,0.05,自身,地形がみずべ,-,-,-,
ホロホロチョウ,キセキとくせい,回復,0.25,味方全体,ファニー属性の味方~~自身がギブアップしたとき,-,-,1回,
セイウチ,たいきスキル,回復,0.02,味方全体,-,-,0.5,∞,
ホッキョクグマ,たいきスキル,回復,0.08,自身,-,-,0.5,∞,
ライジュウ,とくせい,回復,0.3,自身,たいりょくが40%以下になったとき,-,-,1回,
オランウータン,けものミラクル,回復,0.34,味方全体,-,-,-,-,
オランウータン,たいきスキル,回復,0.22,最もたいりょく割合の低い味方単体,-,-,1,3回,
オーストラリアデビル(桃),たいきスキル,回復,0.13,味方前列と自身,-,-,1,3回,
タスマニアデビル(青),たいきスキル,回復,0.1,自身,-,-,1,∞,
シマハイイロギツネ,けものミラクル,回復,0.28,味方全体,-,-,-,-,
オオカワウソ,たいきスキル,回復,0.3,自身,-,-,1,1回,
コアラ,けものミラクル,回復,0.42,味方全体,-,-,-,-,
ゴシンギュウサマ,たいきスキル,回復,0.4,自身,-,-,1,3回,
ゴシンギュウサマ,とくせい,回復,0.3,自身,たいりょくが50%以下になったとき,-,-,1回,
ニホンザル,たいきスキル,回復,0.1,自身,-,-,1,2回,
セイリュウ,たいきスキル,回復,0.2,自身,-,-,1,1回,
