レア度,フォト名,属性,入手,実装日,ページURL,イラストレーター名,変化前アイコンURL,変化後アイコンURL,とくせい(変化前),とくせい(変化後),Lv.1たいりょく,Lv.1こうげき,Lv.1まもり,変化前たいりょく,変化前こうげき,変化前まもり,変化後たいりょく,変化後こうげき,変化後まもり,,EOH
4,砂漠の先には,足跡,限定,2022/06/02,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/mUtmWnLGSN.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/mD12IzkY_R.jpg,毎ターンたいりょくが5％回復する~~地形がさばくの場合、毎ターンMPが3増加する,毎ターンたいりょくが&color(red){7％}回復する~~地形がさばくの場合、毎ターンMPが&color(red){5}増加する,750,156,208,1815,377,502,2250,468,623,,
4,さんぽみち,青,限定,2022/06/09,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/WFolGkZ84p.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/V4S21iPXG1.jpg,自身のたいりょくが50%以下のとき~~リラックス（青）属性の味方のMPが7増加する~~（発動回数：1回）,自身のたいりょくが50%以下のとき~~リラックス（青）属性の味方のMPが&color(red){10}増加する~~（発動回数：1回）,448,309,144,1083,746,348,1343,925,432,,
3,ただいま,足跡,配布,2022/06/23,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/AN2G3Zl7VX.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/UWC7zXOnPY.jpg,「Beat!!!」の与ダメージが7%増加する,「Beat!!!」の与ダメージが&color(red){9%}増加する,206,192,109,478,445,251,618,576,325,,
4,しずかな月夜,足跡,限定,2022/06/30,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/6M7sGfQFp8.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/hGv7QaCyKf.jpg,毎ターンたいりょくが5％回復する~~さらにステージの時間が夜の場合~~かいひと攻撃命中率が5％増加する,毎ターンたいりょくが&color(red){7％}回復する~~さらにステージの時間が夜の場合~~かいひと攻撃命中率が&color(red){7％}増加する,590,262,151,1426,634,364,1768,786,451,,
3,ひとやすみですぅ,足跡,限定~~イベ報酬,2022/06/30,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/d_S6Rosnwm.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/_cwmmrajF1.jpg,「Try!!」の与ダメージが5％増加し~~たいりょくが50％以下のとき~~追加で与ダメージが3％増加する,「Try!!」の与ダメージが&color(red){7％}増加し~~たいりょくが50％以下のとき~~追加で与ダメージが&color(red){5％}増加する,78,230,246,180,533,569,233,689,736,,
4,ひっそりまったり,足跡,限定,2022/07/05,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Usgh1OvPcC.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/GFSVlpPJQ7.jpg,自身が少しだけ狙われにくくなる~~さらに味方全体の与ダメージが3%増加する,自身が少しだけ狙われにくくなる~~さらに味方全体の与ダメージが&color(red){5%}増加する,484,174,342,1170,420,827,1451,521,1025,,
3,いっしょにもぐもぐ,足跡,限定~~イベ報酬,2022/07/28,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/xzRbV7y0EA.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/I5VIbY4LVM.jpg,くたくた耐性(低)が増加し~~与ダメージが3％増加する,くたくた耐性&color(red){(中)}が増加し~~与ダメージが&color(red){5％}増加する,234,193,217,543,448,503,702,579,651,,
4,ゆったりパーク巡り,足跡,限定,2022/07/28,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/ZkR6Wnky_s.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/mu0bacKFc8.jpg,自身の与ダメージと攻撃命中率が5％増加する~~さらにたいりょくが50％以下のとき~~自身以外の味方の被ダメージが8％減少する,自身の与ダメージと攻撃命中率が5％増加する~~&color(red){さらにたいりょくが70％以下のとき}~~自身以外の味方の被ダメージが8％減少する,301,264,303,727,637,733,901,790,909,,
4,楽しくダンスダンス♪,足跡,限定,2022/08/04,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/c3kH3xZlNU.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/cNlYgV7rz2.jpg,与ダメージが7%増加する~~さらにたいりょくが90%以上のとき~~ルンルンきぶん状態になる,与ダメージが&color(red){9%}増加する~~さらにたいりょくが&color(red){80%}以上のとき~~ルンルンきぶん状態になる,413,256,253,998,619,612,1238,768,759,,
3,かげあそび,青,限定,2022/08/13,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/ZM2JFpdkrs.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/HU0oRvtmAa.jpg,たいりょくが50％以上のとき~~かいひが2％増加し~~与ダメージが3%増加する,たいりょくが50％以上のとき~~かいひが&color(red){4％}増加し~~与ダメージが&color(red){5%}増加する,168,227,201,389,527,466,503,681,603,,
4,今夜はサイコー♪,足跡,限定,2022/08/13,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/UOmQBcimri.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/LM5GMZs4dN.jpg,自身が狙われやすくなる~~さらに与ダメージが5％増加し~~被ダメージが4％減少する,自身が狙われやすくなる~~さらに与ダメージが&color(red){7％}増加し~~被ダメージが&color(red){6％}減少する,301,328,206,728,792,497,903,982,617,,
3,めぐりゆく時のなかで,青,配布,2022/08/18,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/_F3s1Ui455.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/e7j9GB7vNw.jpg,毎ターン味方全体のたいりょくが1%回復する,毎ターン味方全体のたいりょくが&color(red){2%}回復する,169,107,259,392,248,601,507,321,777,,
4,どんぐり大きくなーれ！,足跡,限定,2022/08/25,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/C0llRz2lCx.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/5R9VW5QuF9.jpg,くらくら耐性(中)が増加し、~~&color(#0075c8){たいりょくが40%以上のとき}~~与ダメージと攻撃命中率が5％増加する,くらくら耐性(中)が増加し、~~与ダメージと攻撃命中率が5％増加する,263,264,323,636,638,780,789,791,967,,
3,はっぴー・さぷらいずパーティー！,青,限定~~イベ報酬,2022/09/15,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/quqO31nwl0.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/t2lSnCLILJ.jpg,バトル開始時にMPが3増加する~~さらにたいりょくが50%以下のときMPが3増加する~~（発動回数：1回）,バトル開始時にMPが&color(red){5}増加する~~さらにたいりょくが50%以下のときMPが&color(red){5}増加する~~（発動回数：1回）,209,200,217,485,463,503,627,599,651,,
3,まじウマ団子,足跡,限定~~イベ報酬,2022/09/15,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/wR6RCb7RUr.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/v3KwixE92V.jpg,毎ターン自身のたいりょくが1%回復する~~さらにマイペース(水)属性の相手に対して~~与ダメージが3%増加する,毎ターン自身のたいりょくが1%回復する~~さらにマイペース(水)属性の相手に対して~~与ダメージが&color(red){5%}増加する,218,199,217,504,462,503,652,597,650,,
4,よるの流星,足跡,限定,2022/09/15,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/TXq1NHsiq4.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/KJlS9SN6J7.jpg,被ダメージが5%減少する~~さらにステージの時間が夜の場合~~与ダメージと攻撃命中率が5%増加する,被ダメージが&color(red){7%}減少する~~さらにステージの時間が夜の場合~~与ダメージと攻撃命中率が&color(red){7%}増加する,302,264,304,730,637,734,905,790,910,,
4,見習いとしてっ！,青,限定,2022/09/22,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/k9sXxFuc86.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/WYeFFBpFeP.jpg,フレンドリー(緑)属性の相手に対して~~与ダメージが7％増加し、攻撃命中率が4％増加する,フレンドリー(緑)属性の相手に対して~~与ダメージが&color(red){9％}増加し、攻撃命中率が&color(red){6％}増加する,267,302,264,644,730,637,799,905,790,,
4,お気に入りのごちそう,足跡,限定,2022/09/29,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Dzv5uTUs29.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/A0jUtFUAnR.jpg,自身の与ダメージが5％増加し、被ダメージが5％減少する~~さらにたいりょくが30%以下のとき~~たいりょくが10%回復する~~(発動回数：1回),自身の与ダメージが&color(red){7％}増加し、被ダメージが&color(red){7％}減少する~~さらにたいりょくが30%以下のとき~~たいりょくが&color(red){20%}回復する~~(発動回数：1回),343,237,322,830,573,777,1029,711,964,,
3,たんけんたいのお家調査！,足跡,限定~~イベ報酬,2022/09/29,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/0ZV_f0xM9d.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/LGGXXo7AKq.jpg,たいりょくが80%以上のとき攻撃命中率が10%増加する,たいりょくが80%以上のとき攻撃命中率が10%増加し~~&color(red){与ダメージが5％増加する},171,182,270,395,421,626,511,545,809,,
4,わたしの太鼓、どうですか？,足跡,限定,2022/10/06,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/KEKaNsapI2.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/9Af5an56Y0.jpg,自身が狙われやすくなる~~さらに与ダメージと攻撃命中率が5％増加する,自身が狙われやすくなる~~さらに与ダメージと攻撃命中率が&color(red){7％}増加する,201,222,192,486,535,464,603,664,576,,
3,お届けの準備です～♪,青,限定~~イベ報酬,2022/10/27,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Gm3013YR7J.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/8PkBiUaRx7.jpg,&color(#0075c8){たいりょくが50％以上のとき}~~どく耐性(中)が増加し~~与ダメージが3%増加する,どく耐性(中)が増加し~~与ダメージが3%増加する,201,218,197,466,506,457,603,654,591,,
4,メガネのすすめ,足跡,限定,2022/10/27,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/Eu45JEMG05.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/_MqxB2ivge.jpg,攻撃命中率が5%増加する~~さらにリラックス(青)属性の相手に対して~~追加で与ダメージを5％増加する,攻撃命中率が&color(red){6%}増加する~~さらにリラックス(青)属性の相手に対して~~追加で与ダメージを&color(red){7％}増加する,301,289,265,727,698,641,902,866,795,,
4,ありがとうの花束,足跡,限定,2022/11/04,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/fvRJvNbETZ.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/hYqwmovJYw.jpg,被ダメージが8%減少する~~さらにたいりょくが40%以下のとき~~毎ターン4増加する,被ダメージが&color(red){10%}減少する~~さらにたいりょくが40%以下のとき~~毎ターン4増加する,307,247,326,743,597,787,921,741,976,,
3,どきどき、きらきら,青,配布,2022/11/11,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/RPjdXOCFnm.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/gYE9EBswJP.png,たいりょくが80%以上のとき~~味方全体のかいひが3%増加する,&color(red){少しだけ狙われにくくなり}~~たいりょくが80%以上のとき~~味方全体のかいひが3%増加する,168,168,166,388,390,385,502,504,498,,
3,ゆきだまごろごろ,足跡,限定~~イベ報酬,2022/11/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/1mn9s4TOK2.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/xsoBf8pCEu.jpg,与ダメージが5%増加する~~さらに地形が寒冷地の場合、与ダメージが4%増加し~~攻撃命中率が4%増加する,与ダメージが&color(red){7%}増加する~~さらに地形が寒冷地の場合、与ダメージが4%増加し~~攻撃命中率が4%増加する,206,218,196,477,504,454,617,652,587,,
4,日頃の相談,足跡,限定,2022/11/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/1pYdPbDdTV.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/XKTcWp9cil.jpg,自身の与ダメージと攻撃命中率が5%増加する~~さらにたいりょくが30%以下のとき~~たいりょくが10%回復する~~（発動回数：１回）,自身の与ダメージと攻撃命中率が&color(red){7%}増加する~~さらにたいりょくが30%以下のとき~~たいりょくが&color(red){15%}回復する~~（発動回数：１回）,305,265,301,738,640,727,915,794,901,,
4,すぺしゃるコンコンクッキング,足跡,限定,2022/12/01,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/R97DEhBnYM.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/QNKiJJeOFd.jpg,ひやひや耐性(中)が増加する~~&color(#0075c8){さらにたいりょくが40%以上のとき}~~与ダメージが5％増加し被ダメージが5％減少する,ひやひや耐性(中)が増加する~~与ダメージが5％増加し被ダメージが5％減少する,304,301,246,735,727,595,911,901,738,,
4,カフェのひととき,足跡,限定,2022/12/08,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/JmkGebrQ85.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/nhhmt2ueps.jpg,びりびり耐性(中)が増加する~~&color(#0075c8){さらに、たいりょくが40%以上のとき}~~与ダメージとかいひが5％増加する,びりびり耐性(中)が増加する~~与ダメージとかいひが5％増加する,282,299,261,681,722,630,844,895,781,,
4,ゆきのきらきら,足跡,限定~~課金パック,2022/12/21,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/9CxaO4lJcu.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/dFsFeCYKZd.png,バトル開始時に自身の~~MPが12増加し、与ダメージが5%増加する~~さらに毎ターンたいりょくが3%回復する,バトル開始時に&color(red){味方全体}の~~MPが12増加し、与ダメージが5%増加する~~さらに毎ターンたいりょくが3%回復する,251,287,295,607,694,713,753,861,885,,
4,もちもちぺったん,足跡,限定,2023/01/01,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/bJEDKl8SD0.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/AdtIcxanK5.jpg,与ダメージが5%増加する~~さらに状態異常にかかっている相手から受けるダメージを6%減少する,与ダメージが&color(red){7%}増加する~~さらに状態異常にかかっている相手から受けるダメージを&color(red){8%}減少する,253,327,234,611,790,565,758,979,701,,
3,ぜったいに勝ーーつ！,足跡,限定~~イベ報酬,2023/01/01,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/R4ymnYDJQf.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/asHuIOtA4Q.jpg,与ダメージが3％増加し、被ダメージが3％減少する~~さらにファニー(赤)属性の相手に対して~~追加で与ダメージが3％増加する,与ダメージが&color(red){4％}増加し、被ダメージが&color(red){4％}減少する~~さらにファニー(赤)属性の相手に対して~~追加で与ダメージが&color(red){5％}増加する,236,227,166,546,525,385,706,679,498,,
3,ぴょんと年越し！,足跡,限定~~イベ報酬,2023/01/01,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/ZKWDG8lb2U.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/fmACQeu_2b.jpg,かいひが3%増加し~~「Action!」の与ダメージが3％増加する,かいひが&color(red){5%}増加し~~「Action!」の与ダメージが&color(red){5％}増加する,134,259,171,310,601,396,401,777,512,,
4,シロクロつけるのさ！,足跡,限定,2023/01/07,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/JK4d5WP85R.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/102oYcopXZ.jpg,与ダメージが5%増加し~~状態異常にかかっていないとき、与ダメージが3％増加する,与ダメージが&color(red){7%}増加し~~状態異常にかかっていないとき、与ダメージが&color(red){5％}増加する,418,269,234,1011,649,566,1254,805,702,,
3,愛しいけものたち,足跡,限定~~イベ報酬,2023/01/19,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/bzfsOHshUU.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/UnOEBv3bse.jpg,被ダメージが5%減少する~~さらにたいりょくが50%以下のとき被ダメージが5％減少する,被ダメージが&color(red){7%}減少する~~さらにたいりょくが50%以下のとき被ダメージが&color(red){7%}減少する,223,182,241,517,422,559,669,546,723,,
4,おすすめのばしょでち！,足跡,限定,2023/01/19,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/1aWJao0LL0.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/jjAwXeDbCc.jpg,与ダメージが5%増加し~~アクティブ(黄緑)属性の相手のくらくら耐性(低)を減少する,与ダメージが&color(red){7%}増加し~~アクティブ(黄緑)属性の相手のくらくら耐性(低)を減少する,262,261,329,634,631,796,786,783,987,,
3,スイート・チャレンジ,足跡,限定~~イベ報酬,2023/02/02,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/3Lgj0Hn9eU.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/Mjda4AEHVd.jpg,からげんき耐性(低)が増加し~~毎ターン自身のたいりょくが1%回復する,からげんき耐性&color(red){(中)}が増加し~~毎ターン自身のたいりょくが&color(red){3%}回復する,274,158,252,635,365,583,821,472,754,,
4,しろがくろでくろがしろで,足跡,限定,2023/02/02,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/58wjnvmKuI.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/gTMnuUO7X2.jpg,与ダメージとかいひが5％増加する~~地形がサバンナの場合~~さらに与ダメージとかいひが3％増加する,与ダメージとかいひが&color(red){7％}増加する~~地形がサバンナの場合~~さらに与ダメージとかいひが&color(red){5％}増加する,257,270,318,622,652,769,771,809,954,,
4,誰よりも速く！,足跡,限定,2023/02/09,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/azyxbpyFBw.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/ZcO7CDy2Fk.png,与ダメージを5%増加する~~さらに強敵出現waveの場合、与ダメージが7％増加する,与ダメージを5%増加する~~さらに強敵出現waveの場合、与ダメージが&color(red){9％}増加する,211,308,284,510,745,687,633,924,852,,
4,すーぱーしょっと！,足跡,限定,2023/03/02,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/X7rXHKcIgP.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/T9o2Okp0ZP.jpg,与ダメージが5%増加し、~~&color(#0075c8){たいりょくが50%以上のとき}~~追加で「Beat!!!」の与ダメージが5%増加する,与ダメージが5%増加し、~~追加で「Beat!!!」の与ダメージが7%増加する,279,341,197,675,825,476,837,1023,591,,
3,幸運の流れ星,足跡,配布,2023/03/10,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/vRDTvuNHY9.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/AovSW2wa8b.png,毎ターン自身のたいりょくが1%回復し、MPが1増加する,毎ターン&color(red){味方全体}のたいりょくが1%回復し、MPが1増加する,167,167,167,387,387,387,501,501,501,,
3,ラッキー・デコレーション！,足跡,配布,2023/03/16,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/wwXKJBX27J.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/vEuwSmvxJK.jpg,味方全体の与ダメージが1％増加する,味方全体の与ダメージが&color(red){2％}増加する,211,201,216,489,466,501,633,603,648,,
3,私が守る,足跡,限定~~イベ報酬,2023/03/16,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/vueVwaG_Wt.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/4QnkoLY1LG.jpg,自身が狙われやすくなる~~さらに自身がギブアップ状態でないとき~~味方全体の被ダメージが7%減少する,自身が狙われやすくなる~~さらに自身がギブアップ状態でないとき~~味方全体の被ダメージが&color(red){9%}減少する,216,185,240,501,429,557,648,555,720,,
4,フルーツみーつけた！,足跡,限定,2023/03/16,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/MxqI_lcdOf.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Y5Cb6tXvWZ.jpg,自身のどく耐性(低)と~~ズキンズキン耐性(低)とびりびり耐性(低)が増加する,自身のどく耐性&color(red){(中)}と~~ズキンズキン耐性&color(red){(中)}とびりびり耐性&color(red){(中)}が増加する,297,279,283,718,675,684,890,837,849,,
4,みんなを…笑顔に,足跡,限定,2023/03/23,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/ZCsp7a06V8.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Xelbu5cWJx.jpg,自身の与ダメージと攻撃命中率が5%増加する~~さらにたいりょくが50%以上のとき~~毎ターンたいりょくが5%回復する,自身の与ダメージと攻撃命中率が&color(red){7%}増加する~~さらにたいりょくが&color(red){30%}以上のとき~~毎ターンたいりょくが5%回復する,211,310,282,510,750,682,633,930,846,,
3,せいくらべ,足跡,限定~~イベ報酬,2023/03/30,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/ZMDwfElFX8.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/ekpxpAMb5m.jpg,「Beat!!!」と「Try!!」の与ダメージが5％増加する,&color(red){毎ターンプラズムチャージの効果が1回追加される}~~さらに「Beat!!!」と「Try!!」の与ダメージが5％増加する,201,214,203,466,496,471,603,642,609,,
4,予測不可能,青,限定,2023/03/30,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/0c448b7c7fc2692e.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/afc3eb34e43125ca.png,たいりょくが80%以上のとき~~「Beat!!!」の与ダメージが10%増加し~~状態異常にかかっている相手から受けるダメージを9%減少する,たいりょくが&color(red){50%}以上のとき~~「Beat!!!」の与ダメージが&color(red){11%}増加し~~状態異常にかかっている相手から受けるダメージを&color(red){10%}減少する,235,322,251,568,779,607,705,966,753,,
4,レディー・アフター,足跡,限定,2023/04/06,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/FNTivE76ra.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/d5tCRMF5fC.jpg,くらくら耐性(中)が増加し~~&color(#0075c8){たいりょくが50%以下のとき}~~相手全体の与ダメージを5％減少する,くらくら耐性(中)が増加し~~相手全体の与ダメージを5％減少する,357,258,283,864,624,684,1071,774,849,,
4,花咲く思い出,足跡,限定~~課金パック,2023/04/21,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/rPFM9OYK9u.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/iYmlRQMnX6.jpg,与ダメージが8%増加する,与ダメージが8%増加する~~&color(red){さらに毎ターンたいりょくが2%回復し~~ルンルンきぶん状態になる},270,287,284,653,694,687,810,861,852,,
4,ゲーム日和,青,限定,2023/04/27,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/0LyO8F3hAP.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/NSiRJp7qKq.jpg,たいりょくが50%以上のとき~~アクティブ(黄緑)属性の相手に対して~~与ダメージが10%増加する,たいりょくが50%以上のとき~~&color(red){かいひが3%増加する}~~さらにアクティブ(黄緑)属性の相手に対して~~与ダメージが&color(red){12%}増加する,346,268,273,837,648,660,1038,804,819,,
3,ゆったり、の～んびり,足跡,限定~~イベ報酬,2023/04/27,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/fmyRFyvlAz.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/3CeREIIenE.jpg,少しだけ狙われにくくなり~~毎ターンたいりょくが3%回復する~~地形がジャングルの場合、毎ターンMPが2増加する,少しだけ狙われにくくなり~~毎ターンたいりょくが&color(red){5%}回復する~~地形がジャングルの場合、毎ターンMPが&color(red){3}増加する,241,177,239,559,411,554,723,531,717,,
4,どこまでも！,足跡,限定,2023/05/04,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/Lv_bh5kYqY.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/weuFvKvj52.png,フレンドリー(緑)属性の相手に対して与ダメージが8%増加する~~地形がみずべの場合、毎ターンたいりょくが3%回復する,フレンドリー(緑)属性の相手に対して与ダメージが&color(red){10%}増加する~~地形がみずべの場合、毎ターンたいりょくが&color(red){5%}回復する,358,269,265,866,651,641,1074,807,795,,
3,ふしぎなうた,足跡,限定~~イベ報酬,2023/05/25,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/tpQ6o0EoFA.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/cyWgktfoLz.jpg,自身が狙われやすくなる~~さらに毎ターン自身のたいりょくが5%回復する,自身が狙われやすくなる~~さらに毎ターン自身のたいりょくが5%回復し~~&color(red){攻撃命中率が5％増加する},216,185,240,501,429,557,648,555,720,,
4,その手をにぎって,足跡,限定,2023/05/25,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/ENWL2CyBQR.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Z3jVrqmbYq.jpg,フレンドリー(緑)、アクティブ(黄緑)属性の味方の~~「Action!」の与ダメージが7%増加する,フレンドリー(緑)、アクティブ(黄緑)属性の味方の~~「Action!」の与ダメージが&color(red){8%}増加し~~&color(red){毎ターンMPが1増加する},386,338,144,934,818,348,1158,1014,432,,
4,ごろぴか、どどーん！,足跡,限定,2023/06/01,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/E3xd7GoHxE.jpg,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/7zYVvwzbeL.jpg,フレンドリー(緑)、アクティブ(黄緑)属性の味方の~~びりびり状態の相手に与えるダメージが8%増加する,フレンドリー(緑)、アクティブ(黄緑)属性の味方の~~びりびり状態の相手に与えるダメージが&color(red){10%}増加する,221,332,243,534,803,588,663,996,729,,
4,スマイルコミュニケーション,青,限定,2023/06/08,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/wKD0Ov7KdT.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/8zt0x_NE7L.png,ギブアップ中ではない味方が2人以上の場合~~自身の「Beat!!!」の与ダメージと攻撃命中率が10%増加する,ギブアップ中ではない味方が2人以上の場合~~自身の「Beat!!!」の与ダメージと攻撃命中率が&color(red){12%}増加する,304,334,194,735,808,469,912,1002,582,,
4,ゆらゆらひかる,青,限定,2023/06/19,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/SIqU9DZlvt.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/1WRhMODpZ3.jpg,地形がみずべの場合~~自身の与ダメージが6%増加し~~被ダメージが6%減少する,地形がみずべの場合~~自身の与ダメージが&color(red){7%}増加し~~被ダメージが&color(red){7%}減少する,301,309,234,728,747,566,903,927,702,,
3,サマーリフレッシュ,足跡,限定~~イベ報酬,2023/06/19,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/pYVkcPXUee.jpg,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/eMgeugAh9H.jpg,自身のくらくら耐性(低)が増加し~~与ダメージが3%増加する,自身のくらくら耐性&color(red){(中)}が増加し~~与ダメージが&color(red){5%}増加する,171,217,215,397,503,499,513,651,645,,
